City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,nova sintra,14.8667,-24.7167,78.28,85,100,16.84,CV,1722996903
83,fale old settlement,-9.3852,-171.2468,82.92,73,58,14.0,TK,1722996904
84,qaqortoq,60.7167,-46.0333,48.06,88,100,3.83,GL,1722996906
85,simplicio mendes,-7.8539,-41.9103,70.12,52,65,4.72,BR,1722996907
86,nadym,65.5333,72.5167,48.83,71,0,12.59,RU,1722996908
87,mount isa,-20.7333,139.5,71.37,28,1,11.5,AU,1722996909
88,mount pearl,47.5166,-52.7813,61.95,90,75,14.97,CA,1722996910
89,gunjur,13.2019,-16.7339,77.07,94,75,4.61,GM,1722996911
90,vila franca do campo,37.7167,-25.4333,73.81,92,28,4.88,PT,1722996912
91,waingapu,-9.6567,120.2641,83.86,60,44,16.17,ID,1722996913
92,mar del plata,-38.0023,-57.5575,53.1,98,100,8.01,AR,1722996669
93,yellowknife,62.456,-114.3525,67.41,44,8,10.0,CA,1722996732
94,port lincoln,-34.7333,135.8667,60.13,55,25,16.15,AU,1722996917
95,lihue,21.9789,-159.3672,83.79,63,0,14.97,US,1722996918
96,porto novo,6.4965,2.6036,76.12,82,96,8.14,BJ,1722996919
97,utrik,11.2278,169.8474,83.3,77,46,12.37,MH,1722996920
98,st. john's,47.5649,-52.7093,62.78,90,75,14.97,CA,1722996921
99,petropavlovsk-kamchatsky,53.0452,158.6483,55.99,100,75,6.71,RU,1722996922
100,hithadhoo,-0.6,73.0833,81.68,74,84,3.89,MV,1722996923
101,novoazovs'k,47.1139,38.086,70.41,70,96,6.58,UA,1722996924
102,t'q'ibuli,42.3512,42.9987,58.12,94,24,3.67,GE,1722996925
103,praia da vitoria,38.7333,-27.0667,73.65,83,20,6.31,PT,1722996928
104,pesaro,43.9036,12.8903,76.86,75,2,3.56,IT,1722996694
105,vilyuysk,63.7553,121.6247,55.53,64,93,9.19,RU,1722996930
106,nizhnevartovsk,60.9344,76.5531,53.62,82,100,4.47,RU,1722996932
107,puerto aysen,-45.4,-72.7,38.97,98,100,0.72,CL,1722996933
108,impfondo,1.6381,18.0667,72.0,84,100,3.11,CG,1722996934
109,longyearbyen,78.2186,15.6401,48.04,93,75,0.0,SJ,1722996935
110,zhelezinka,53.54,75.3072,65.57,89,99,5.23,KZ,1722996937
111,ta`u,-14.2336,-169.5144,78.8,77,33,13.02,AS,1722996938
112,kolwezi,-10.7148,25.4667,60.17,27,0,4.85,CD,1722996939
113,guerrero negro,27.9769,-114.0611,75.13,70,25,13.18,MX,1722996940
114,adrar,20.5022,-10.0711,90.75,32,8,10.85,MR,1722996941
